CustomerID,Tenure_Months,ContractType,SupportTickets,MonthlyCharges,CLV,Churn
10087,13,Annual,3,72.91,939.05,0
10088,9,Monthly,2,86.7,745.71,0
10089,15,Monthly,0,104.57,1811.61,0
10090,13,Annual,2,100.5,1512.4,0
10091,1,Annual,2,54.93,51.32,0
10092,7,Monthly,0,114.67,839.63,0
10093,9,Annual,1,41.18,433.92,0
10094,1,Annual,0,108.75,128.85,0
10095,12,Monthly,0,117.37,1413.54,0
10096,8,Monthly,5,45.93,360.54,0
10097,11,Monthly,2,94.98,952.25,1
10098,19,Monthly,2,33.62,755.93,0
10099,17,Monthly,2,66.48,968.66,1
10100,8,Annual,1,76.46,631.17,0
10101,3,Monthly,0,82.25,225.28,1
10102,3,Monthly,0,114.22,312.38,0
10103,1,Monthly,2,90.49,87.05,0
10104,5,Monthly,2,73.31,439.65,0
10105,10,Annual,3,102.86,845.5,0
10106,7,Monthly,2,115.54,834.17,0
10107,9,Monthly,0,31.98,239.73,1
10108,7,Annual,0,118.42,714.37,0
10109,9,Monthly,2,37.74,331.47,0
10110,8,Monthly,2,103.28,829.74,0
10111,12,Monthly,1,55.22,598.71,0
10112,2,Monthly,3,41.89,77.62,1
10113,1,Monthly,0,69.58,58.08,0
10114,16,Monthly,1,87.95,1296.38,0
10115,23,Monthly,2,64.28,1754.23,0
10116,23,Annual,1,34.9,945.51,0
10117,5,Monthly,2,83.94,391.99,0
10118,3,Monthly,1,111.21,343.07,0
10119,12,Annual,0,64.48,900.52,0
10120,8,Monthly,1,49.46,317.52,0
10121,22,Annual,1,69.82,1726.98,0
10122,3,Monthly,2,34.34,121.51,1
10123,1,Annual,4,103.83,86.86,1
10124,3,Monthly,1,104.36,270.68,1
10125,5,Monthly,2,82.91,490.95,0
10126,15,Monthly,1,61.77,940.45,0
10127,14,Annual,3,101.97,1150.18,0
10128,3,Monthly,1,79.91,216.49,1
10129,1,Monthly,0,104.32,102.24,0
10130,5,Monthly,1,86.82,467.6,1
10131,23,Annual,3,100.59,2529.25,0
10132,14,Monthly,2,83.86,1406.71,0
10133,7,Annual,2,67.26,430.82,0
10134,9,Monthly,1,116.21,1061.84,0
10135,15,Monthly,0,78.69,1196.09,1
10136,15,Monthly,4,84.45,1218.91,0
10137,10,Monthly,2,49.83,432.39,0
10138,13,Monthly,2,86.3,1336.14,0
10139,19,Monthly,0,81.43,1765.93,1
10140,7,Annual,1,46.63,326.16,0
10141,17,Monthly,1,35.35,625.82,0
10142,20,Monthly,2,84.38,1503.53,0
10143,4,Monthly,0,98.72,401.81,0
10144,5,Monthly,3,77.1,415.54,1
10145,23,Monthly,3,50.4,1166.22,1
10146,7,Monthly,0,89.98,753.36,0
10147,13,Monthly,3,37.2,505.13,1
10148,15,Annual,0,69.76,992.32,0
10149,11,Annual,2,44.69,545.14,0
10150,4,Monthly,2,46.59,161.8,1
10151,13,Monthly,1,48.2,597.61,1
10152,7,Annual,4,64.79,425.79,0
10153,19,Monthly,2,34.59,639.35,1
10154,22,Monthly,2,65.79,1610.55,1
10155,2,Monthly,2,76.04,151.12,0
10156,10,Annual,1,73.49,821.29,0
10157,13,Annual,0,64.44,863.36,0
10158,21,Monthly,0,105.51,2075.8,1
10159,6,Monthly,2,43.07,290.46,1
10160,12,Monthly,2,75.5,811.19,1
10161,12,Annual,4,35.57,379.82,1
10162,20,Monthly,3,36.39,729.19,1
10163,11,Monthly,2,81.64,812.11,0
10164,23,Annual,0,80.93,1495.91,0
10165,7,Monthly,2,109.01,808.36,0
10166,1,Annual,1,80.2,80.55,0
10167,1,Monthly,1,116.37,113.84,0
10168,20,Monthly,4,34.37,815.86,1
10169,13,Monthly,2,38.81,518.91,0
10170,9,Annual,1,33.96,350.03,0
10171,3,Annual,2,46.66,119.8,0
10172,7,Annual,2,78.7,566.18,0
10173,6,Monthly,1,88.09,606.35,1
10174,8,Annual,1,34.09,281.81,0
10175,9,Monthly,3,115.13,1126.5,0
10176,5,Monthly,4,105.78,501.85,1
10177,1,Annual,1,56.69,47.44,0
10178,19,Monthly,1,36.94,689.98,0
10179,10,Monthly,0,45.28,433.69,0
10180,12,Monthly,1,41.41,569.95,1
10181,15,Monthly,2,41.09,553.17,1
10182,22,Monthly,2,76.66,2001.4,1
10183,9,Monthly,0,52.12,555.0,0
10184,20,Monthly,0,62.22,1118.83,1
10185,17,Annual,1,119.05,1900.77,0
10186,17,Annual,5,91.58,1803.16,1
10187,20,Monthly,3,115.4,2738.74,1
10188,12,Monthly,1,42.82,502.22,0
10189,7,Monthly,2,64.38,418.41,0
10190,2,Monthly,1,79.92,161.5,1
10191,3,Monthly,1,36.9,119.01,0
10192,17,Annual,2,30.37,469.46,0
10193,5,Monthly,3,90.33,494.37,0
10194,17,Monthly,1,87.75,1224.28,0
10195,17,Monthly,2,66.96,933.11,0
10196,17,Monthly,2,74.06,1201.72,0
10197,2,Annual,0,67.38,126.86,0
10198,2,Annual,2,32.15,59.56,1
10199,22,Monthly,1,60.17,1319.06,1
10200,23,Annual,1,45.93,980.58,0
10201,5,Monthly,1,38.85,170.33,1
10202,1,Annual,1,116.09,107.25,0
10203,1,Annual,0,83.93,99.88,0
10204,19,Monthly,5,95.57,1751.25,1
10205,2,Monthly,0,58.37,114.16,0
10206,21,Monthly,1,65.37,1414.87,0
10207,12,Monthly,0,51.31,734.81,1
10208,6,Annual,4,38.72,208.29,1
10209,23,Monthly,2,46.1,1137.26,0
10210,4,Monthly,0,101.77,442.23,0
10211,23,Annual,5,90.97,2182.11,1
10212,11,Annual,1,79.21,727.95,1
10213,17,Monthly,2,72.75,1324.21,1
10214,6,Monthly,3,113.01,559.83,1
10215,5,Monthly,2,36.54,189.71,1
10216,20,Monthly,1,55.24,1210.76,0
10217,2,Annual,1,61.48,108.75,0
10218,6,Monthly,4,100.41,684.77,1
10219,22,Monthly,1,119.32,2131.84,0
10220,11,Monthly,1,51.65,646.29,0
10221,16,Monthly,1,108.68,1711.25,0
10222,16,Annual,0,104.75,1486.61,0
10223,1,Annual,2,50.21,42.85,0
10224,9,Monthly,1,65.93,700.96,0
10225,6,Monthly,1,66.86,332.59,0
10226,16,Monthly,0,118.03,1661.18,0
10227,3,Annual,1,46.27,130.36,1
10228,20,Annual,0,101.91,2136.31,0
10229,4,Monthly,0,60.07,244.58,0
10230,19,Annual,0,95.77,1547.13,0
10231,3,Annual,0,67.79,186.27,0
10232,19,Monthly,2,82.04,1395.91,1
10233,20,Annual,1,104.93,1858.05,0
10234,7,Monthly,2,102.36,691.09,0
10235,20,Monthly,1,107.97,2335.59,1
10236,9,Monthly,1,35.36,282.24,0
10237,1,Monthly,4,92.27,87.35,1
10238,8,Monthly,1,42.59,325.84,0
10239,7,Annual,1,67.41,561.83,0
10240,18,Monthly,3,79.36,1688.34,1
10241,8,Annual,3,66.24,593.51,0
10242,1,Monthly,1,76.76,68.82,1
10243,11,Monthly,1,119.68,1088.99,1
10244,18,Monthly,2,42.16,703.29,0
10245,23,Monthly,1,90.78,1893.19,1
10246,10,Annual,1,65.63,657.86,0
10247,3,Monthly,2,41.96,139.87,0
10248,7,Monthly,0,44.28,354.36,0
10249,16,Monthly,3,115.42,2101.55,0
10250,16,Annual,1,109.15,1648.44,0
10251,20,Annual,0,111.62,2399.67,0
10252,17,Annual,5,119.23,1875.13,1
10253,2,Monthly,1,48.74,80.36,1
10254,1,Monthly,1,61.98,66.98,1
10255,16,Monthly,0,90.22,1160.49,1
10256,12,Monthly,1,73.53,850.33,1
10257,5,Monthly,2,67.65,315.14,0
10258,5,Monthly,0,62.19,335.02,0
10259,23,Monthly,1,83.43,2123.25,0
10260,9,Monthly,4,81.79,678.46,1
10261,9,Annual,1,44.52,450.64,0
10262,3,Monthly,2,72.45,199.42,0
10263,19,Monthly,4,79.8,1483.69,1
10264,16,Annual,1,81.32,1419.2,0
10265,16,Monthly,1,48.9,842.77,0
10266,3,Annual,2,96.79,346.99,0
10267,20,Monthly,0,32.26,574.23,1
10268,22,Monthly,1,61.92,1450.8,0
10269,1,Annual,2,100.21,104.61,0
10270,20,Annual,0,80.74,1882.93,0
10271,11,Annual,2,53.49,507.56,0
10272,17,Monthly,0,92.54,1731.55,0
10273,8,Monthly,1,81.06,666.15,0
10274,4,Monthly,2,101.65,369.96,0
10275,6,Monthly,0,96.14,570.95,1
10276,8,Annual,3,84.9,634.04,0
10277,20,Monthly,1,73.93,1525.43,0
10278,3,Annual,2,41.98,145.52,0
10279,16,Monthly,0,53.51,879.89,0
10280,3,Monthly,0,67.71,213.83,1
10281,18,Monthly,1,83.93,1522.01,0
10282,14,Annual,0,76.22,875.55,0
10283,18,Annual,2,55.93,899.11,0
10284,2,Annual,1,30.57,60.95,0
10285,22,Annual,3,74.65,1517.67,0
10286,3,Annual,4,55.7,145.82,1
10287,16,Annual,1,96.1,1540.22,0
10288,9,Monthly,1,32.15,268.8,1
10289,4,Monthly,3,82.62,298.52,0
10290,1,Monthly,1,114.72,113.07,1
10291,4,Annual,1,45.69,155.94,0
10292,1,Annual,0,72.44,84.83,0
10293,14,Monthly,1,38.22,613.75,1
10294,21,Annual,2,86.3,1962.84,0
10295,16,Annual,1,79.54,1072.15,0
10296,20,Monthly,2,66.65,1480.16,0
10297,8,Monthly,3,76.91,691.11,0
10298,7,Annual,2,110.68,857.75,0
10299,3,Monthly,1,47.66,120.89,1
10300,17,Annual,2,32.02,575.69,0
10301,1,Monthly,5,107.54,121.92,1
10302,16,Annual,1,81.93,1351.45,0
10303,12,Annual,1,110.15,1399.2,0
10304,19,Annual,2,83.72,1564.1,0
10305,22,Monthly,2,102.9,2289.9,0
10306,23,Annual,2,68.66,1285.07,1
10307,22,Annual,1,97.48,2263.71,0
10308,14,Monthly,2,112.16,1307.39,1
10309,6,Annual,4,81.48,476.18,0
10310,6,Monthly,4,46.26,254.54,0
10311,13,Monthly,0,54.18,717.16,0
10312,19,Monthly,4,47.87,776.13,0
10313,22,Monthly,2,52.21,1236.6,1
10314,8,Monthly,2,57.57,514.88,0
10315,2,Annual,3,79.95,138.37,0
10316,21,Monthly,0,82.91,1465.52,0
10317,1,Annual,1,68.37,58.68,0
10318,15,Monthly,2,85.38,1473.86,1
10319,1,Monthly,1,37.33,37.75,0
10320,5,Monthly,3,37.89,186.97,1
10321,16,Annual,0,45.45,612.86,0
10322,19,Monthly,3,76.62,1542.81,0
10323,4,Annual,5,49.25,226.0,1
10324,3,Annual,0,55.49,188.31,0
10325,17,Annual,1,66.02,1178.9,0
10326,17,Monthly,1,103.06,1454.34,0
10327,12,Monthly,0,31.24,316.73,0
10328,14,Annual,1,88.43,1014.88,0
10329,21,Monthly,2,90.19,1710.24,0
10330,6,Annual,2,101.87,522.14,0
10331,3,Monthly,0,113.94,309.01,0
10332,9,Annual,3,31.8,273.06,1
10333,5,Annual,0,43.83,257.99,0
10334,17,Annual,1,109.75,1948.04,0
10335,14,Monthly,1,71.26,1131.26,1
10336,21,Annual,4,80.8,1839.64,1
10337,3,Monthly,1,89.66,227.29,0
10338,1,Monthly,3,91.11,99.7,1
10339,20,Annual,1,113.85,2072.1,0
10340,21,Annual,2,119.72,2653.91,1
10341,23,Annual,2,94.8,2041.78,0
10342,1,Annual,1,55.84,66.96,0
10343,3,Monthly,4,109.17,296.53,1
10344,18,Monthly,0,34.42,564.82,0
10345,10,Annual,1,50.79,595.36,0
10346,22,Monthly,1,110.75,1973.3,0
10347,3,Monthly,0,53.05,171.66,1
10348,8,Monthly,1,49.85,434.73,0
10349,14,Monthly,2,42.42,673.81,0
10350,18,Monthly,1,107.31,2298.15,0
10351,15,Monthly,1,75.0,1338.94,0
10352,22,Monthly,0,90.73,1648.97,0
10353,23,Monthly,1,51.51,1337.14,0
10354,2,Annual,1,98.21,207.92,0
10355,10,Monthly,1,98.39,1041.89,0
10356,2,Monthly,1,58.12,98.97,1
10357,17,Annual,2,66.95,1206.55,1
10358,8,Monthly,3,48.86,466.34,1
10359,1,Annual,1,117.88,137.3,0
10360,9,Annual,2,88.09,773.54,0
10361,11,Monthly,2,114.1,1024.13,1
10362,22,Monthly,0,57.29,1191.05,1
10363,16,Annual,6,100.36,1815.41,1
10364,7,Annual,0,98.92,748.23,0
10365,10,Monthly,2,92.24,907.39,1
10366,23,Annual,2,116.9,2210.17,0
10367,3,Monthly,1,65.41,190.49,0
10368,18,Annual,0,41.75,742.27,0
10369,13,Monthly,1,90.44,1377.32,0
10370,7,Annual,0,95.63,707.17,0
10371,4,Annual,4,81.75,302.35,0
10372,13,Annual,3,48.6,638.25,0
10373,20,Monthly,2,75.39,1246.1,0
10374,1,Monthly,0,58.09,69.07,1
10375,8,Monthly,2,68.46,517.04,1
10376,14,Monthly,2,88.06,1221.92,0
10377,16,Monthly,0,97.06,1463.05,0
10378,14,Annual,2,50.89,764.48,0
10379,12,Monthly,0,66.47,849.39,1
10380,19,Monthly,0,54.21,1118.8,0
10381,23,Annual,1,47.87,998.83,0
10382,15,Annual,1,100.49,1396.28,0
10383,2,Annual,1,111.82,190.12,0
10384,2,Annual,0,63.31,134.5,0
10385,23,Monthly,0,97.61,1831.67,0
10386,22,Monthly,1,110.72,2531.01,0
10387,19,Annual,1,106.14,2314.91,0
10388,22,Annual,1,46.44,1181.48,0
10389,22,Monthly,3,116.06,2501.19,0
10390,17,Annual,2,63.89,1068.46,0
10391,20,Monthly,2,60.52,1005.61,1
10392,10,Monthly,0,35.61,380.41,1
10393,6,Monthly,2,73.75,499.33,0
10394,15,Monthly,1,39.8,536.04,0
10395,22,Monthly,2,52.36,1115.63,0
10396,11,Monthly,1,58.51,730.9,1
10397,5,Annual,0,102.78,591.45,0
10398,1,Monthly,1,108.78,97.61,0
10399,8,Monthly,2,57.21,466.95,0
10400,21,Annual,4,107.27,1975.64,1
10401,12,Annual,1,107.14,1080.95,0
10402,12,Annual,1,98.81,1380.69,0
10403,5,Annual,2,43.19,243.65,0
10404,7,Annual,0,92.12,711.91,0
10405,4,Monthly,6,115.04,377.11,0
10406,6,Monthly,1,91.42,623.93,0
10407,13,Monthly,0,59.84,758.58,1
10408,20,Monthly,0,75.04,1406.23,1
10409,15,Monthly,3,88.11,1346.15,1
10410,3,Annual,2,75.94,190.58,0
10411,23,Monthly,1,40.79,1034.37,0
10412,8,Monthly,2,58.08,479.93,0
10413,20,Monthly,3,102.21,1787.85,1
10414,16,Annual,0,107.52,1505.75,0
10415,13,Monthly,0,42.35,480.98,1
10416,18,Annual,2,115.7,1713.64,0
10417,10,Monthly,2,59.58,616.77,1
10418,19,Monthly,2,89.6,1934.13,0
10419,17,Monthly,1,97.65,1339.72,0
10420,19,Annual,2,103.07,1604.98,0
10421,23,Monthly,0,115.11,2724.53,1
10422,5,Annual,0,58.15,327.92,0
10423,21,Monthly,1,107.26,2096.27,0
10424,23,Monthly,0,41.84,904.47,1
10425,9,Annual,4,93.44,873.4,0
10426,12,Annual,1,96.77,1056.34,0
10427,21,Annual,5,90.99,1548.89,1
10428,1,Annual,2,52.7,57.66,0
10429,1,Annual,2,108.56,114.02,0
10430,15,Annual,7,45.19,699.7,1
10431,2,Annual,2,34.82,76.37,0
10432,22,Annual,2,94.56,2226.18,0
10433,16,Annual,2,72.78,1027.52,0
10434,8,Annual,0,106.41,801.04,0
10435,13,Annual,0,64.5,713.05,0
10436,21,Monthly,2,45.14,807.5,0
10437,1,Annual,1,105.27,112.69,0
10438,16,Annual,2,79.39,1452.48,0
10439,7,Monthly,0,47.02,390.04,0
10440,5,Annual,1,94.82,498.46,0
10441,22,Monthly,2,75.99,1460.54,0
10442,23,Monthly,1,84.38,1634.57,0
10443,3,Annual,2,71.47,241.24,0
10444,12,Monthly,2,104.57,1294.42,1
10445,16,Annual,4,104.65,1753.63,1
10446,19,Annual,1,93.83,1983.59,0
10447,5,Monthly,1,39.48,213.43,0
10448,22,Monthly,1,105.49,2631.18,1
10449,14,Monthly,0,90.38,1040.72,0
10450,5,Annual,1,92.72,509.51,0
10451,15,Annual,1,62.66,1071.78,0
10452,17,Annual,0,109.13,1696.43,0
10453,14,Monthly,0,95.27,1408.76,0
10454,20,Annual,0,40.12,742.81,0
10455,5,Monthly,3,66.69,394.53,1
10456,12,Annual,2,109.76,1071.35,0
10457,16,Monthly,1,34.24,565.29,1
10458,16,Annual,4,116.52,1615.59,0
10459,21,Monthly,2,91.11,2075.83,0
10460,7,Annual,0,86.81,528.91,0
10461,4,Monthly,1,54.34,194.35,1
10462,1,Annual,2,52.38,52.26,0
10463,5,Annual,0,114.78,669.1,0
10464,23,Monthly,0,56.83,1156.46,0
10465,10,Annual,2,99.79,855.86,0
10466,22,Annual,3,65.37,1587.14,0
10467,5,Monthly,2,42.52,212.67,0
10468,4,Monthly,2,30.95,144.21,0
10469,2,Annual,1,78.97,135.62,0
10470,20,Monthly,0,117.81,2493.74,0
10471,10,Monthly,1,63.21,564.58,1
10472,19,Monthly,1,62.14,1018.52,0
10473,1,Annual,0,60.96,65.43,0
10474,5,Monthly,1,76.84,398.59,1
10475,13,Annual,1,69.65,997.74,0
10476,4,Annual,1,109.18,403.44,0
10477,16,Annual,2,75.49,1182.65,0
10478,16,Annual,3,75.69,1165.22,0
10479,23,Monthly,1,42.44,1165.23,1
10480,2,Annual,2,118.44,217.19,0
10481,17,Monthly,4,52.49,819.06,1
10482,20,Monthly,2,36.59,689.28,1
10483,12,Monthly,0,89.67,1103.88,0
10484,18,Monthly,2,83.57,1355.28,0
10485,3,Annual,3,67.35,235.62,0
10486,1,Annual,1,67.99,61.62,0
10487,1,Monthly,1,100.65,116.58,1
10488,19,Monthly,1,47.6,761.02,0
10489,11,Annual,2,103.81,1213.45,0
10490,5,Monthly,4,88.38,513.82,0
10491,12,Monthly,4,67.7,704.73,1
10492,3,Monthly,1,71.21,253.66,0
10493,1,Annual,1,53.09,52.09,0
10494,1,Annual,6,97.68,115.1,1
10495,8,Monthly,1,76.15,652.28,1
10496,10,Monthly,2,58.87,541.95,0
10497,11,Annual,0,83.63,805.28,0
10498,12,Annual,1,119.61,1322.6,0
10499,13,Monthly,3,69.16,752.76,1
10500,12,Annual,4,112.85,1161.31,0
10501,14,Monthly,3,61.04,719.44,1
10502,2,Monthly,2,34.92,67.68,0
10503,19,Annual,0,48.37,1027.73,0
10504,18,Monthly,1,67.67,1043.37,0
10505,3,Annual,1,49.76,127.2,0
10506,23,Monthly,3,30.01,729.84,1
10507,17,Monthly,4,112.34,1678.46,1
10508,8,Annual,1,105.94,711.1,0
10509,10,Monthly,1,96.8,838.97,1
10510,2,Annual,1,45.09,105.47,0
10511,19,Monthly,1,40.82,875.37,0
10512,9,Monthly,2,36.07,305.72,0
10513,7,Monthly,2,95.15,707.58,1
10514,4,Annual,2,113.58,461.11,0
10515,21,Monthly,3,68.74,1545.77,1
10516,18,Annual,1,40.71,786.37,0
10517,13,Monthly,2,76.11,1040.32,1
10518,11,Annual,1,61.38,612.06,0
10519,4,Monthly,2,63.72,207.89,0
10520,21,Annual,1,85.91,1772.04,1
10521,4,Annual,1,94.67,437.92,0
10522,10,Annual,2,39.94,410.55,0
10523,5,Annual,1,33.19,188.03,0
10524,9,Annual,1,119.48,1286.78,0
10525,3,Annual,0,50.94,132.25,0
10526,17,Monthly,1,34.83,637.62,1
10527,3,Monthly,1,47.08,151.08,1
10528,16,Annual,2,33.5,638.83,0
10529,4,Annual,0,65.25,311.71,1
10530,18,Annual,2,102.21,1977.08,0
10531,17,Monthly,3,60.7,926.1,1
10532,7,Monthly,0,69.97,548.25,0
10533,23,Monthly,2,90.79,1759.99,0
10534,5,Annual,2,75.79,421.5,0
10535,12,Monthly,1,107.52,1501.94,0
10536,17,Monthly,2,107.93,1748.87,0
10537,23,Monthly,0,30.88,747.4,1
10538,13,Monthly,3,100.01,1263.85,1
10539,23,Monthly,3,71.46,1602.58,0
10540,3,Monthly,0,118.99,329.88,0
10541,9,Annual,1,73.48,730.67,0
10542,17,Monthly,2,118.81,2372.17,0
10543,17,Monthly,1,97.9,1957.74,0
10544,20,Monthly,2,52.36,911.05,0
10545,16,Monthly,0,78.45,1443.27,1
10546,22,Monthly,1,119.28,2873.44,1
10547,13,Monthly,3,107.17,1255.44,0
10548,19,Annual,2,38.75,608.86,0
10549,17,Monthly,3,93.56,1442.97,0
10550,4,Annual,1,61.09,284.66,0
10551,12,Annual,0,30.62,386.99,0
10552,9,Annual,2,66.3,649.49,0
10553,19,Monthly,1,51.12,876.89,1
10554,12,Monthly,1,103.69,1353.45,0
10555,9,Monthly,0,60.35,440.63,0
10556,7,Monthly,2,104.47,694.8,0
10557,14,Annual,1,30.04,441.94,0
10558,20,Monthly,6,57.69,990.53,1
10559,19,Monthly,3,51.69,1109.1,0
10560,15,Annual,0,51.01,684.07,0
10561,16,Annual,2,36.13,613.24,0
10562,21,Monthly,1,46.83,946.16,0
10563,5,Monthly,2,79.99,415.31,0
10564,3,Monthly,3,56.21,142.16,1
10565,12,Monthly,2,67.56,654.02,1
10566,20,Monthly,2,63.91,1487.56,1
10567,21,Monthly,2,108.82,2074.67,1
10568,4,Monthly,0,111.47,502.88,1
10569,21,Monthly,1,74.36,1873.37,1
10570,23,Monthly,0,59.7,1214.69,0
10571,16,Monthly,2,39.6,574.11,1
10572,7,Monthly,2,115.8,863.38,0
10573,13,Annual,1,35.41,546.04,0
10574,21,Annual,0,56.78,1390.67,0
10575,10,Monthly,0,56.82,568.81,0
10576,7,Monthly,0,58.83,460.39,0
10577,14,Monthly,4,44.78,535.53,0
10578,5,Annual,1,100.47,598.31,0
10579,3,Annual,1,41.01,145.9,0
10580,23,Monthly,1,87.13,1734.47,0
10581,11,Annual,3,41.14,416.19,0
10582,11,Monthly,3,36.34,335.79,1
10583,18,Monthly,3,111.84,1829.27,1
10584,15,Annual,1,47.1,795.82,0
10585,12,Annual,1,103.9,1186.14,0
10586,9,Annual,5,79.01,593.99,1
10587,10,Annual,1,37.0,346.62,0
10588,12,Monthly,1,115.98,1659.75,0
10589,17,Annual,1,52.22,933.73,0
10590,6,Monthly,0,107.36,622.55,0
10591,7,Annual,0,45.18,274.09,0
10592,14,Monthly,0,106.84,1786.72,0
10593,13,Annual,3,31.18,457.37,0
10594,8,Monthly,0,76.05,555.22,1
10595,10,Annual,0,99.24,821.73,0
10596,9,Monthly,0,114.12,844.94,0
10597,18,Annual,1,111.82,1707.1,0
10598,2,Monthly,1,103.76,214.22,1
10599,5,Monthly,0,109.93,643.9,1
10600,5,Monthly,2,47.92,239.29,1
10601,6,Monthly,0,55.57,379.13,0
10602,19,Annual,1,56.0,1040.92,0
10603,8,Monthly,0,63.92,554.07,1
10604,16,Annual,3,65.39,1143.26,1
10605,13,Monthly,2,79.0,893.06,0
10606,1,Monthly,1,44.38,41.92,1
10607,22,Annual,1,92.2,2139.85,0
10608,20,Annual,3,45.07,746.63,0
10609,17,Monthly,1,57.92,930.07,1
10610,7,Monthly,1,75.29,534.37,0
10611,13,Annual,1,101.67,1584.05,1
10612,4,Monthly,2,96.54,382.24,0
10613,4,Annual,1,88.09,396.9,0
10614,6,Annual,0,44.01,256.88,1
10615,19,Annual,1,79.22,1683.72,1
10616,12,Monthly,2,37.86,471.66,0
10617,22,Annual,1,63.95,1624.53,0
10618,7,Monthly,0,67.21,453.69,1
10619,10,Monthly,5,33.57,349.74,1
10620,19,Monthly,2,54.65,1092.33,1
10621,7,Monthly,0,116.0,785.16,1
10622,3,Annual,3,115.82,298.02,0
10623,13,Annual,3,61.7,671.69,0
10624,13,Annual,0,33.87,355.17,0
10625,18,Monthly,2,46.11,953.96,1
10626,20,Monthly,1,65.29,1168.15,0
10627,8,Monthly,1,115.29,815.89,0
10628,9,Annual,2,42.7,420.56,0
10629,7,Monthly,2,98.71,641.2,0
10630,1,Annual,0,39.77,39.87,0
10631,3,Monthly,1,118.3,307.0,0
10632,13,Monthly,0,64.34,990.17,1
10633,17,Annual,1,99.76,1934.44,1
